Months,England,Wales ,Scotland ,Northern Ireland
1/1/05,158572,123815,93982,111920
1/2/05,158609,121070,93554,111920
1/3/05,159642,123052,96638,111920
1/4/05,161336,124088,102739,116004
1/5/05,163064,126541,103815,116004
1/6/05,164069,127477,107989,116004
1/7/05,165756,130529,110003,123386
1/8/05,166440,131874,110101,123386
1/9/05,166168,131307,110188,123386
1/10/05,165637,131511,109598,127674
1/11/05,166303,130826,108994,127674
1/12/05,167244,129673,110714,127674
1/1/06,166544,129914,109380,131302
1/2/06,166896,132218,107355,131302
1/3/06,168001,133581,111484,131302
1/4/06,171129,134018,116209,143918
1/5/06,172699,135043,118876,143918
1/6/06,174231,138538,120454,143918
1/7/06,176164,138355,122702,160529
1/8/06,177603,140227,124427,160529
1/9/06,178275,140180,126392,160529
1/10/06,178927,139801,123482,179841
1/11/06,179718,141553,125396,179841
1/12/06,182031,142521,127707,179841
1/1/07,181824,139760,126699,198950
1/2/07,182397,143455,124280,198950
1/3/07,183712,141453,129092,198950
1/4/07,186711,144844,135581,216751
1/5/07,188814,145951,138765,216751
1/6/07,190822,147402,141897,216751
1/7/07,193360,147245,141815,224670
1/8/07,194328,150316,143287,224670
1/9/07,194764,149164,142294,224670
1/10/07,194700,149825,139547,214269
1/11/07,194502,148509,141524,214269
1/12/07,194373,147362,139736,214269
1/1/08,191750,146364,138388,198362
1/2/08,190066,144636,137508,198362
1/3/08,188657,141503,137848,198362
1/4/08,189115,141804,139328,185845
1/5/08,189777,142749,145641,185845
1/6/08,187350,141876,141555,185845
1/7/08,185844,137901,139710,168076
1/8/08,181494,139660,137784,168076
1/9/08,177232,132625,132420,168076
1/10/08,173249,133991,133839,153774
1/11/08,168230,131304,129820,153774
1/12/08,165795,129403,125767,153774
1/1/09,162673,125021,124484,140190
1/2/09,160956,124029,120994,140190
1/3/09,159340,123104,125727,140190
1/4/09,160701,125355,126975,141489
1/5/09,162740,127350,130699,141489
1/6/09,164536,125948,132049,141489
1/7/09,167673,128279,133126,141864
1/8/09,169603,128768,132658,141864
1/9/09,171214,129232,131727,141864
1/10/09,172314,130696,132914,141994
1/11/09,172818,131131,134183,141994
1/12/09,174136,132978,133037,141994
1/1/10,174458,127733,128973,135701
1/2/10,175248,127958,126524,135701
1/3/10,174765,130677,128897,135701
1/4/10,176796,131747,133162,134515
1/5/10,177754,132483,132977,134515
1/6/10,178655,131877,134249,134515
1/7/10,180519,134036,135444,132164
1/8/10,180807,132453,133825,132164
1/9/10,180231,133167,133756,132164
1/10/10,178102,133140,133750,124515
1/11/10,176301,127443,131509,124515
1/12/10,176036,128963,129758,124515
1/1/11,174442,127771,129746,119024
1/2/11,173811,127961,125916,119024
1/3/11,173046,125133,126172,119024
1/4/11,175490,129222,129848,117142
1/5/11,174668,128085,129832,117142
1/6/11,174838,128270,131209,117142
1/7/11,177164,128564,133429,115108
1/8/11,177335,129395,132518,115108
1/9/11,176783,131017,131949,115108
1/10/11,175171,127698,129122,111871
1/11/11,175200,130415,128206,111871
1/12/11,174812,127397,125924,111871
1/1/12,174179,127097,125728,104712
1/2/12,174161,126324,121886,104712
1/3/12,174323,126231,125412,104712
1/4/12,176543,128163,125134,104987
1/5/12,177026,128349,126455,104987
1/6/12,178696,129986,128361,104987
1/7/12,179756,129342,127491,102086
1/8/12,180129,128860,126734,102086
1/9/12,179563,127952,125823,102086
1/10/12,178412,126881,124617,99647
1/11/12,178662,128452,123166,99647
1/12/12,178406,127143,122180,99647
1/1/13,176816,127584,122594,97428
1/2/13,177203,125702,120180,97428
1/3/13,178189,126975,121357,97428
1/4/13,179900,126671,123409,99229
1/5/13,180621,128640,125358,99229
1/6/13,182088,129380,127118,99229
1/7/13,184274,128501,128421,101165
1/8/13,185642,130842,129781,101165
